iter	Passed	Remaining
0	1	133
1	2	111
2	3	98
3	3	89
4	4	85
5	5	82
6	6	80
7	6	78
8	7	77
9	8	76
10	9	76
11	10	76
12	11	75
13	12	74
14	13	73
15	13	72
16	14	71
17	15	70
18	16	69
19	17	68
20	17	67
21	18	65
22	19	64
23	20	63
24	20	62
25	21	61
26	22	60
27	23	59
28	24	59
29	24	58
30	25	57
31	26	56
32	27	55
33	28	55
34	29	54
35	30	53
36	31	52
37	31	51
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	42
48	40	41
49	41	41
50	42	40
51	43	39
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	53	29
65	54	28
66	55	27
67	57	26
68	57	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	86	0
99	87	0
